data,sl,pl,topm,mse,mae
GOOG,10,10,30,0.075478,0.221463
GOOG,10,10,5,0.076213,0.222469
GOOG,10,10,3,0.076519,0.222948
GOOG,20,20,3,0.072565,0.201343
GOOG,20,20,5,0.072366,0.200909
GOOG,20,20,10,0.072024,0.200436
GOOG,40,40,5,0.133741,0.267305
GOOG,40,40,3,0.134717,0.268874
GOOG,40,40,10,0.131778,0.264537
GOOG,60,60,5,0.176339,0.307808
GOOG,60,60,3,0.178557,0.309593
GOOG,60,60,10,0.174706,0.306171
AMZN,10,10,10,0.083342,0.233203
AMZN,10,10,5,0.083531,0.233383
AMZN,10,10,3,0.08373,0.233764
AMZN,20,20,10,0.07947,0.215732
AMZN,20,20,3,0.079709,0.216231
AMZN,20,20,5,0.079542,0.215978
AMZN,40,40,5,0.178213,0.331693
AMZN,40,40,3,0.179635,0.332905
AMZN,40,40,10,0.17588,0.329594
AMZN,60,60,10,0.272894,0.41552
AMZN,60,60,3,0.277042,0.419685
AMZN,60,60,5,0.275535,0.418064
AAPL,10,10,10,0.069915,0.216062
AAPL,10,10,5,0.07006,0.216238
AAPL,10,10,3,0.070308,0.216656
AAPL,20,20,10,0.067275,0.19454
AAPL,20,20,5,0.067509,0.194937
AAPL,20,20,3,0.067913,0.195638
AAPL,40,40,3,0.139668,0.296279
AAPL,40,40,5,0.138711,0.294993
AAPL,40,40,10,0.137953,0.293833
AAPL,60,60,5,0.189631,0.337971
AAPL,60,60,3,0.190223,0.338597
AAPL,60,60,10,0.188953,0.33703
AAPL,60,60,20,0.188068,0.335851
GOOG,60,60,20,0.174653,0.305487
AMZN,60,60,20,0.271554,0.414216
